Line Item	Price	Unit	HSN	Applicable Site(s)	Site Count	Source PO/Invoice Count	Example Source File	App Display Name
CARPET BRUSH HARD	60	PCS	9603	ETPL THANE	1	1	Hk Mumbai/PARSVATECH JULY26 ETPL (1).pdf	CARPET BRUSH HARD
CARPET BRUSH SOFT	63.5	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	CARPET BRUSH SOFT
CARPET BRUSH SOFT [NOS] | HSN 96031000	63.05	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	CARPET BRUSH SOFT [NOS] | HSN 96031000
CAUSHIN /FLOORING MAT (FS)	66	PCS		Arcil Sky Mark - Noida	1	1	FCGC- Delhi.pdf	CAUSHIN /FLOORING MAT (FS)
CEILING BROOM	135	SET	9603	NOIDA, SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	3	3	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	CEILING BROOM — ₹135
CEILING BRUSH ROUND	116.2	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	CEILING BRUSH ROUND
CELLO TAPE (2 inch) (FS)	26.5	PCS		Mahindra Finance - Delhi	1	1	FCGC- Delhi.pdf	CELLO TAPE (2 inch) (FS)
CELLO TAPE 1 inch [NOS] | HSN 39191000	7.76	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	CELLO TAPE 1 inch [NOS] | HSN 39191000
CELLO TAPE 1"	7.76	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	CELLO TAPE 1"
CELLO TAPE 2 inch [NOS] | HSN 3919	16.49	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	CELLO TAPE 2 inch [NOS] | HSN 3919
CELLO TAPE 2''	16.46	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	CELLO TAPE 2''
CELLO TAPE 3 inch [NOS] | HSN 391990	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	CELLO TAPE 3 inch [NOS] | HSN 391990
CELLO TAPE 3''	24.25	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	CELLO TAPE 3''
CHOCK PUMP	27.16	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	CHOCK PUMP
CHOKE UP PUMP	35	PCS	9603	NOIDA	1	1	Hk Mumbai/PARSVATECH JULY26 NOIDA (1).pdf	CHOKE UP PUMP
CIRAMICS DINNER PLATE	145	PCS	4823	SIGMA 2ND FLOOR, SIGMA 7TH FLOOR	2	2	Hk Mumbai/PARSVATECH JULY26 SIGMA 2ND FLOOR (1).pdf	CIRAMICS DINNER PLATE — ₹145
CLING FILM [NOS] | HSN 3923	450	ROLL		SS Plaza	1	1	Stepier - Banglore.pdf	CLING FILM [NOS] | HSN 3923
CLOTH COVER 10 X 7	4	PCS	4817	D WING	1	1	Hk Mumbai/PARSVATECH JULY26 D WING.pdf	CLOTH COVER 10 X 7
COFFEE BEANS (C D Estate Blend-II)	820	KG		Mafatlal Chember -A wing, Mafatlal WS	2	2	purchaseorders (11).pdf	COFFEE BEANS (C D Estate Blend-II) — ₹820
COFFEE PREMIX	200	PKT		2nd Floor - Sigma IT Park, 7th Floor - Sigma IT Park	2	3	purchaseorders (10).pdf	COFFEE PREMIX — ₹200
CORRECTION PEN (WHITNER)	14.55	PCS		SS Plaza	1	1	Stepier - Banglore.pdf	CORRECTION PEN (WHITNER)
COTTON HAND GLOSE PANTRY [PAIR] | HSN 61161000 | CHANGE TO GST 5pct	15	PAIR		SS Plaza	1	1	Stepier - Banglore.pdf	COTTON HAND GLOSE PANTRY [PAIR] | HSN 61161000 | CHANGE TO GST 5pct
Catch Chat Masala (FS)	88	PCS		Mahindra Finance - Delhi	1	2	FCGC- Delhi.pdf	Catch Chat Masala (FS)
